run_id,done,status,platform,architecture,analysis_role,cv_fold,outer_split_seed,inner_split_seed,training_seed,fit_train_cases,fit_train_patients,tuning_cases,tuning_patients,outer_test_cases,outer_test_patients,completed_epochs,best_epoch,best_tuning_dice,outer_test_all_postoperative_mean_dice,archive_validation,prediction_files,archive_bytes,archive_sha256,organized_zip,original_zip,expected_zip,canonical_notebook,canonical_notebook_sha256,split_sha256,training_budget,notes
no22,YES,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,37,34,0.5780860185623169,0.75662509613958,PASS,119,167400406,25e744b8d4704ad2a2db11bd98c3e89ab64a20d23c590075c3c4c6b721685fec,Returned_Results/matrix_runs/no22/MU_Glioma_no22_unetplusplus_fold1_seed2026_results.zip,RunPod_Returned_Zips/no22/MU_Glioma_no22_unetplusplus_fold1_seed2026_results.zip,MU_Glioma_no22_unetplusplus_fold1_seed2026_results.zip,no22.ipynb,27665df427a6bfafd0210ddfbd8436d9cfb4fa7dc0560299d13d330ef2e26c74,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no23,YES,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,51,47,0.5773056149482727,0.8126263628521933,PASS,119,166658169,0b9f5cf05bf89210452dc215d199dcceb4915bbd5736a3e802e0c3e3b59140a3,Returned_Results/matrix_runs/no23/MU_Glioma_no23_unetplusplus_fold2_seed2026_results.zip,RunPod_Returned_Zips/no23/MU_Glioma_no23_unetplusplus_fold2_seed2026_results.zip,MU_Glioma_no23_unetplusplus_fold2_seed2026_results.zip,no23.ipynb,5a00c360869c259e6497ee235bd279a7a062facd14cf4bf0492f32b5b13f61c5,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no24,YES,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,65,60,0.538070023059845,0.7845394725719355,PASS,119,166686535,2a1fee4e0fa2d4b31817b26747c154664378a9c7b145df6277c1cebeab621c78,Returned_Results/matrix_runs/no24/MU_Glioma_no24_unetplusplus_fold3_seed2026_results.zip,RunPod_Returned_Zips/no24/MU_Glioma_no24_unetplusplus_fold3_seed2026_results.zip,MU_Glioma_no24_unetplusplus_fold3_seed2026_results.zip,no24.ipynb,6db12ba87148c97a039f6d91143c20c217ac40a5a5c2eb7168c0f026f5aafd6c,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no25,YES,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,34,26,0.5019577741622925,0.7283775219461779,PASS,119,168322343,c85f49657cf411ff3c80f5ac71a92314b6576030ab91120a0bf901511ebdb726,Returned_Results/matrix_runs/no25/MU_Glioma_no25_unetplusplus_fold4_seed2026_results.zip,RunPod_Returned_Zips/no25/MU_Glioma_no25_unetplusplus_fold4_seed2026_results.zip,MU_Glioma_no25_unetplusplus_fold4_seed2026_results.zip,no25.ipynb,3d24e95821b327f392bb5b9054d925af788a21ffd346193a139676007e9dfb56,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no26,YES,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,52,51,0.5727630853652954,0.7568771554547197,PASS,118,166582185,32ac0279172187c5b978c22fae198cefb8cd8e7b75b5af6b3f3ab2964470a160,Returned_Results/matrix_runs/no26/MU_Glioma_no26_unetplusplus_fold5_seed2026_results.zip,RunPod_Returned_Zips/no26/MU_Glioma_no26_unetplusplus_fold5_seed2026_results.zip,MU_Glioma_no26_unetplusplus_fold5_seed2026_results.zip,no26.ipynb,4637fecedcf4ec2ae6705878f347530487e93dd9d13fbfa11aa325f121bf1b1d,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no27,YES,DONE_VALIDATED,P100,Controlled 3D U-Net++,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,44,40,0.4920970201492309,0.7626242639662278,PASS,119,167054908,657dd2577b18f983101c4e6fb7d220a522cd44b28d73438a388f9414f1b98cb9,Returned_Results/matrix_runs/no27/MU_Glioma_no27_unetplusplus_fold1_seed2027_results.zip,Kaggle_Returned_Zips/no27/MU_Glioma_no27_unetplusplus_fold1_seed2027_results.zip,MU_Glioma_no27_unetplusplus_fold1_seed2027_results.zip,no27.ipynb,3f09933df5d207680e45aeefb6664209b4a4bf165015ed5918dfbe3fdfcac118,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no28,YES,DONE_VALIDATED,P100,Controlled 3D U-Net++,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,48,48,0.5949293971061707,0.7910685435747735,PASS,119,167043226,a08fa97b2dcfa8395c22023ccd284ac3eebed2ea4304c8d9675f92eedbb32fb4,Returned_Results/matrix_runs/no28/MU_Glioma_no28_unetplusplus_fold1_seed2028_results.zip,Kaggle_Returned_Zips/no28/MU_Glioma_no28_unetplusplus_fold1_seed2028_results.zip,MU_Glioma_no28_unetplusplus_fold1_seed2028_results.zip,no28.ipynb,62a10ad1fac5c4adca08187908124fd61e5d9e398be8af0964c2d0645bb37442,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no29,YES,DONE_VALIDATED,P100,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,100,82,0.8472070097923279,0.9087181479689246,PASS,119,234269865,5354e5d986c9fb03601e6082518a2c98f04ccfbd3f66d1c32d7c8212594c291d,Returned_Results/matrix_runs/no29/MU_Glioma_no29_nnunet_fold1_seed2026_reports.zip,zips/MU_Glioma_no29_nnunet_fold1_seed2026_reports.zip,MU_Glioma_no29_nnunet_fold1_seed2026_reports.zip,no29.ipynb,d88a576e4c7550096795d44bff2a5c9663386349741bd48aef598b23b36229e5,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,min 100/max 150; early stop with min_delta 0.002/patience 15,
no30,YES,DONE_VALIDATED,T4 -> A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,144,130,0.8540758490562439,0.9280872051837666,PASS,119,231345835,aea4f4a43a9c367769abe08896cd4a860b3c4859aa8aa9e53df28ff5fb27549e,Returned_Results/matrix_runs/no30/MU_Glioma_no30_nnunet_fold2_seed2026_reports.zip,RunPod_Returned_Zips/no30/MU_Glioma_no30_nnunet_fold2_seed2026_reports.zip,MU_Glioma_no30_nnunet_fold2_seed2026_reports.zip,no30.ipynb,1e89f9a9df4c4cd9b29dca76c44a24d44c9e6e28763113bc8b0727534695575d,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,min 100/max 150; early stop with min_delta 0.002/patience 15,
no31,YES,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,150,149,0.8509556651115417,0.9036680884641238,PASS,119,231366883,06d93a0af26594490c03391b1b80355dcf75d6c7edcb909cf559936e2afe8e6b,Returned_Results/matrix_runs/no31/MU_Glioma_no31_nnunet_fold3_seed2026_reports.zip,RunPod_Returned_Zips/no31/MU_Glioma_no31_nnunet_fold3_seed2026_reports.zip,MU_Glioma_no31_nnunet_fold3_seed2026_reports.zip,no31.ipynb,e1c6f5ed87e39b5a7acfc58db4ea3a7348b5d89004f7d360bf044d661d9ccb53,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,min 100/max 150; early stop with min_delta 0.002/patience 15,
