run_id,status,platform,architecture,analysis_role,cv_fold,training_seed,completed_epochs,best_epoch,best_tuning_dice,outer_test_all_postoperative_mean_dice,prediction_files,archive_bytes,archive_sha256,packaged_zip,validation_record
no19,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,5,2026,57,54,0.6035133004188538,0.7902562321900065,118,251371025,eea31d08487af3281c28b4b29743bcb962e89247e32c736e41e06df61f855f1e,results/validated_zips/no19/MU_Glioma_no19_vnet_fold5_seed2026_results.zip,results/validation_records/no19.json
no20,DONE_VALIDATED,P100,Controlled 3D V-Net,training_seed_robustness_fold1,1,2027,48,40,0.4948097169399261,0.7781974581117596,119,230888628,d469d40939fc11e789d8f50d7360584c570e04212b8fae00e7dd487865c388b6,results/validated_zips/no20/MU_Glioma_no20_vnet_fold1_seed2027_results.zip,results/validation_records/no20.json
no21,DONE_VALIDATED,P100,Controlled 3D V-Net,training_seed_robustness_fold1,1,2028,47,39,0.5735242366790771,0.7710192031591623,119,231629115,0ba47d60dfc3fabbb83b6302731d8226e63b5764395bc3334e5ce628b5eb9ce3,results/validated_zips/no21/MU_Glioma_no21_vnet_fold1_seed2028_results.zip,results/validation_records/no21.json
no22,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,1,2026,37,34,0.5780860185623169,0.75662509613958,119,167400406,25e744b8d4704ad2a2db11bd98c3e89ab64a20d23c590075c3c4c6b721685fec,results/validated_zips/no22/MU_Glioma_no22_unetplusplus_fold1_seed2026_results.zip,results/validation_records/no22.json
no23,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,2,2026,51,47,0.5773056149482727,0.8126263628521933,119,166658169,0b9f5cf05bf89210452dc215d199dcceb4915bbd5736a3e802e0c3e3b59140a3,results/validated_zips/no23/MU_Glioma_no23_unetplusplus_fold2_seed2026_results.zip,results/validation_records/no23.json
no24,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,3,2026,65,60,0.538070023059845,0.7845394725719355,119,166686535,2a1fee4e0fa2d4b31817b26747c154664378a9c7b145df6277c1cebeab621c78,results/validated_zips/no24/MU_Glioma_no24_unetplusplus_fold3_seed2026_results.zip,results/validation_records/no24.json
no25,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,4,2026,34,26,0.5019577741622925,0.7283775219461779,119,168322343,c85f49657cf411ff3c80f5ac71a92314b6576030ab91120a0bf901511ebdb726,results/validated_zips/no25/MU_Glioma_no25_unetplusplus_fold4_seed2026_results.zip,results/validation_records/no25.json
no26,DONE_VALIDATED,A40,Controlled 3D U-Net++,primary_five_fold_cross_validation,5,2026,52,51,0.5727630853652954,0.7568771554547197,118,166582185,32ac0279172187c5b978c22fae198cefb8cd8e7b75b5af6b3f3ab2964470a160,results/validated_zips/no26/MU_Glioma_no26_unetplusplus_fold5_seed2026_results.zip,results/validation_records/no26.json
no27,DONE_VALIDATED,P100,Controlled 3D U-Net++,training_seed_robustness_fold1,1,2027,44,40,0.4920970201492309,0.7626242639662278,119,167054908,657dd2577b18f983101c4e6fb7d220a522cd44b28d73438a388f9414f1b98cb9,results/validated_zips/no27/MU_Glioma_no27_unetplusplus_fold1_seed2027_results.zip,results/validation_records/no27.json
no28,DONE_VALIDATED,P100,Controlled 3D U-Net++,training_seed_robustness_fold1,1,2028,48,48,0.5949293971061707,0.7910685435747735,119,167043226,a08fa97b2dcfa8395c22023ccd284ac3eebed2ea4304c8d9675f92eedbb32fb4,results/validated_zips/no28/MU_Glioma_no28_unetplusplus_fold1_seed2028_results.zip,results/validation_records/no28.json
no29,DONE_VALIDATED,P100,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,1,2026,100,82,0.8472070097923279,0.9087181479689246,119,234269865,5354e5d986c9fb03601e6082518a2c98f04ccfbd3f66d1c32d7c8212594c291d,results/validated_zips/no29/MU_Glioma_no29_nnunet_fold1_seed2026_reports.zip,results/validation_records/no29.json
no30,DONE_VALIDATED,T4 -> A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,2,2026,144,130,0.8540758490562439,0.9280872051837666,119,231345835,aea4f4a43a9c367769abe08896cd4a860b3c4859aa8aa9e53df28ff5fb27549e,results/validated_zips/no30/MU_Glioma_no30_nnunet_fold2_seed2026_reports.zip,results/validation_records/no30.json
no31,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,3,2026,150,149,0.8509556651115417,0.9036680884641238,119,231366883,06d93a0af26594490c03391b1b80355dcf75d6c7edcb909cf559936e2afe8e6b,results/validated_zips/no31/MU_Glioma_no31_nnunet_fold3_seed2026_reports.zip,results/validation_records/no31.json
no32,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,4,2026,100,73,0.8238579630851746,0.8676782905064487,119,234320605,f72603c0db5fe78a942f7e4859229cbb9519eede6db9b3904cb2a597ce6ee1cc,results/validated_zips/no32/MU_Glioma_no32_nnunet_fold4_seed2026_reports.zip,results/validation_records/no32.json
no33,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,primary_five_fold_cross_validation,5,2026,107,92,0.8115379810333252,0.8841111304774463,118,234254680,0101aecf95518c13b0faff9924293f8592ffba05ec040525de32a0468eb28376,results/validated_zips/no33/MU_Glioma_no33_nnunet_fold5_seed2026_reports.zip,results/validation_records/no33.json
no34,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,training_seed_robustness_fold1,1,2027,104,89,0.8266261219978333,0.9134826774660908,119,234427982,3b0abed52f1ed2e1b691fda513c9562666d5b39a59fe2b435c7c7bd65cae7119,results/validated_zips/no34/MU_Glioma_no34_nnunet_fold1_seed2027_reports.zip,results/validation_records/no34.json
no35,DONE_VALIDATED,A40,nnU-Net v2 3D fullres,training_seed_robustness_fold1,1,2028,150,150,0.8775128126144409,0.9204145911687941,119,234468940,7ea14a9f306cf442fc11864d3c11341bbc5de9710fb6eb647c881f180e7f94cd,results/validated_zips/no35/MU_Glioma_no35_nnunet_fold1_seed2028_reports.zip,results/validation_records/no35.json
