architecture,target,reference_present_patients,reference_present_scans,mean_patient_dice,dice_bootstrap_ci95_low,dice_bootstrap_ci95_high,mean_patient_pooled_iou,mean_patient_pooled_precision,mean_patient_pooled_recall,median_patient_hd95_mm,mean_patient_average_surface_distance_mm,mean_patient_surface_dice_1mm,mean_patient_lesion_sensitivity,undefined_surface_scans,surface_defined_scans
Controlled 3D V-Net,Resection cavity,189,520,0.44304046565842325,0.4067803660572673,0.47908211694136243,0.3473355155690267,0.46822004455157096,0.6178752592577936,50.924588350539054,10.315462719860065,0.4076201073224768,0.7819278890435852,0,520
Controlled 3D V-Net,Tumor-related region (1-3),203,592,0.7805517244290602,0.7546855119809345,0.8047512802693567,0.6942972322100593,0.7840127691236811,0.8490244919166547,23.59014452298285,4.933989674753562,0.7305183875352007,0.8113355858852229,0,592
Controlled 3D V-Net,All postoperative regions (1-4),203,594,0.8053544112597641,0.7789994145963849,0.8294798274483416,0.7249000978794985,0.7985372911918858,0.8729207538570488,35.529067556718424,5.588726769026185,0.7179149615394259,0.8598110053140068,0,594
Controlled 3D U-Net++,Non-enhancing tumor core,145,315,0.28703480380931556,0.2541666369416072,0.3206355193826436,0.20423118658355263,0.44871875797091043,0.37008468528678107,11.74734012447073,4.719291369340395,0.434746018719112,0.6435755608781032,8,307
Controlled 3D U-Net++,FLAIR hyperintensity / edema,202,591,0.7424397381439345,0.7163424481748577,0.767206250078762,0.6462528639089787,0.7205549623017224,0.8533178159845655,36.052122414371766,5.702463565303573,0.724783562229888,0.7162155614438661,0,591
Controlled 3D U-Net++,Enhancing tissue,195,546,0.653166460585861,0.6198547461466718,0.6852645590805359,0.5729524454952891,0.6866290801686906,0.7741069494773201,12.84523257866513,5.921966654644721,0.703538562440252,0.7249756843374707,0,546
Controlled 3D U-Net++,Resection cavity,189,520,0.41412100800640317,0.37911455765133045,0.44971080676918807,0.32539947405519837,0.4289860294500131,0.5991246450808204,75.29582553360395,13.694241719808007,0.3605138234682971,0.7180783879902967,0,520
Controlled 3D U-Net++,Tumor-related region (1-3),203,592,0.7612631935418034,0.7349399743072861,0.7862745078886527,0.6680779313514845,0.7430401856488538,0.8668605196535802,39.33192087859428,6.040377628638741,0.7014413187327718,0.8126420229967577,0,592
Controlled 3D U-Net++,All postoperative regions (1-4),203,594,0.7782813439680546,0.7518049624919655,0.8029603549118095,0.6881456915246867,0.7524010621306197,0.8803883123903012,48.42466934607815,6.961346105719813,0.6759205668720412,0.8742801938063858,0,594
nnU-Net v2 3D fullres,Non-enhancing tumor core,145,315,0.5251262587971245,0.4730750291935741,0.5768209592686488,0.4742283163442041,0.6773772910980103,0.6115734945862806,7.523569313497786,2.4264252609360444,0.611638896940546,0.682393638667296,18,297
nnU-Net v2 3D fullres,FLAIR hyperintensity / edema,202,591,0.8740470970446611,0.8505821787767687,0.8953057727857165,0.8282769434726933,0.9113201619038169,0.8911738101459576,1.9142135623730951,1.3143581166270886,0.8905214703609833,0.6905858302688376,4,587
nnU-Net v2 3D fullres,Enhancing tissue,195,546,0.7962790406539779,0.7636650479878603,0.8265996376027175,0.755653016315683,0.8500329069427686,0.8598687683315561,1.5,1.399223756630105,0.8539105632097511,0.7760105170768014,7,539
nnU-Net v2 3D fullres,Resection cavity,189,520,0.6199190703040378,0.5778487129330089,0.6614563070279583,0.5553515346047174,0.7198339821536084,0.7026603377149846,6.708203932499369,3.421795448917644,0.6402323495300739,0.6812626439304187,25,495
nnU-Net v2 3D fullres,Tumor-related region (1-3),203,592,0.8791462191024745,0.8563125078474397,0.8997784819871407,0.8329455602931909,0.9140069250941005,0.8939467998578561,2.8284271247461903,1.3505837723465484,0.8751131870594829,0.7455735133532814,4,588
nnU-Net v2 3D fullres,All postoperative regions (1-4),203,594,0.8982245804787929,0.8757386294974521,0.9184808733584051,0.8599680026293686,0.936312279602449,0.9061332908766996,2.0,1.5643404780270977,0.8776745248474881,0.7786835356502566,4,590
